Question,Answer
"Have you completed the following level of education: Bachelor's Degree? Required Yes No",Yes
"Do you have a valid driver's license? Required Yes No",user provided
"Do you have the following license or certification: Google Cloud Certified Professional Cloud Architect? Required Yes No Please make a selection",user provided
"How many years of work experience do you have with C++?",1
"How many years of computer games experience do you currently have? Enter a whole number between 0 and 99",1
"How many years of engineering experience do you currently have? Enter a whole number between 0 and 99",1
"How many years of work experience do you have with Unreal Engine? Enter a whole number between 0 and 99",1
"How many years utilizing Unreal Engine? Enter a decimal number larger than 0.0",1
"How many years of work experience do you have with databases? Enter a whole number between 0 and 99",1
"How many years of work experience do you have with business development? Enter a whole number between 0 and 99",1
"Are you comfortable commuting to this job's location? Required Yes No Please make a selection",Yes
"Have you worked as a Frontend Developer?",Yes
"Have you worked as a Jr Software Developer?",Yes
"Have you worked as a Full Stack Developer?",Yes
"Do you have experience with Vue.js?",Yes
"Do you have experience with React.js?",Yes
"Do you have experience with Nuxt.js?",Yes
"Do you have experience with Node.js?",Yes
"Do you have experience with MongoDB?",Yes
"Do you have experience with HTML, CSS, and JavaScript?",Yes
"Have you worked with Bootstrap and Tailwind CSS?",Yes
"Do you have experience with Jira?",Yes
"Have you managed application state with Vuex or Redux?",Yes
"Do you have experience conducting manual testing?",Yes
"Have you developed responsive, user-centric web interfaces?",Yes
"Have you optimized web application performance and scalability?",Yes
"Have you developed intuitive interfaces for a document migration SaaS product?",Yes
"Have you contributed to full-stack development and lifecycle management using JavaScript, React, Node.js, and MongoDB?",Yes
"Do you have experience with real-time cryptocurrency tracking apps?",Yes
"Do you have experience with data presentation and JSON compatibility?",Yes
"Do you have experience with GitHub for version control?",Yes
"Are you familiar with AWS and cloud platforms?",Yes
"Do you have experience with IntelliJ, VS Code, or PyCharm?",Yes
"Are you familiar with agile work environments and using Jira?",Yes
"Do you have experience with Postman for API testing?",Yes
"Are you familiar with version control tools like Bitbucket?",Yes
"Have you used Netlify or Firebase for deployment?",Yes
"Do you have experience with PowerShell and SSH tools like PuTTY?",Yes
"Have you used FileZilla for file transfer?",Yes
"Have you developed interactive web-excel sheets?",Yes
"Do you have experience with Chart JS and Coin Gecko API?",Yes
"Have you contributed to a responsive app using React JS and Material UI?",Yes
"Are you proficient in programming languages such as JavaScript, HTML, CSS, and Python?",Yes
"Do you have experience with libraries and frameworks like Vue.js, React.js, Nuxt.js, Next.js, Node.js, Express.js, MongoDB, Bootstrap, Tailwind CSS, and Vuetify?",Yes
